,0,1,2
0,1525178884.0,104.06487,30.51572
1,1525170752.0,104.05184,30.48981
2,1525153093.0,104.05203,30.49961
3,1525176635.0,104.0423,30.49914
4,1525165167.0,104.07669,30.51071
5,1525167485.0,103.96693,30.32176
6,1525151441.0,104.0694,30.48119
7,1525148237.0,104.060638,30.502228
8,1525183798.0,103.995967,30.492929
9,1525149577.0,103.98704,30.45717
10,1525142515.0,104.08971,30.56151
11,1525165273.0,104.0708,30.5039
12,1525183923.0,104.07998,30.48634
13,1525130635.0,104.07082,30.50274
14,1525178846.0,104.03122,30.49557
15,1525180825.0,104.06749,30.48877
16,1525145371.0,104.09075,30.54723
17,1525135417.0,104.05366,30.51059
18,1525146260.0,104.10303,30.67053
19,1525171777.0,104.06749,30.48877
20,1525152214.0,104.07507,30.50343
21,1525142843.0,104.03622,30.49893
22,1525187878.0,104.035055,30.459653
23,1525153777.0,104.06845,30.506772
24,1525173600.0,104.07599,30.50895
25,1525137854.0,104.0461,30.55113
26,1525130869.0,104.06098,30.51898
27,1525147151.0,104.057064,30.507497
28,1525158987.0,104.06127,30.64023
29,1525179749.0,104.0439,30.51343
30,1525133621.0,104.07807,30.48681
31,1525169797.0,104.09755,30.48333
32,1525178152.0,103.96167,30.60966
33,1525164097.0,104.06869,30.52698
34,1525141853.0,104.04656,30.51179
35,1525167222.0,104.02688,30.66371
36,1525176460.0,104.081011,30.501118
37,1525161362.0,104.04562,30.50974
38,1525185509.0,104.06819,30.52688
39,1525178333.0,104.058847,30.510072
40,1525105162.0,104.055037,30.519874
41,1525145888.0,104.02252,30.486074
42,1525158112.0,104.01,30.57222
43,1525143960.0,104.05263,30.52874
44,1525132895.0,103.990539,30.48716
45,1525108071.0,104.0217,30.49281
46,1525144083.0,104.057978,30.503704
47,1525174486.0,104.057464,30.540699
48,1525141348.0,104.049644,30.505326
49,1525106034.0,104.05253,30.50604
50,1525144022.0,104.06749,30.48877
51,1525166535.0,103.912,30.60268
52,1525179415.0,104.06771,30.48748
53,1525165860.0,104.06114,30.57726
54,1525178369.0,104.07016,30.49149
55,1525180384.0,104.08162,30.48943
56,1525159222.0,104.06963,30.50157
57,1525187045.0,104.039931,30.514234
58,1525178705.0,104.02424,30.50811
59,1525173659.0,104.08118,30.50141
60,1525166268.0,104.08646,30.66108
61,1525185758.0,104.07508,30.47526
62,1525159850.0,104.06065,30.539995
63,1525138618.0,104.07382,30.48741
64,1525149319.0,104.03939,30.48931
65,1525185034.0,103.95938,30.57856
66,1525171195.0,104.005087,30.45707
67,1525106328.0,104.07664,30.62511
68,1525179680.0,104.03006,30.58031
69,1525134539.0,104.09629,30.46626
70,1525164310.0,104.05645,30.50471
71,1525172715.0,104.068873,30.478835
72,1525153339.0,104.09507,30.46855
73,1525134670.0,104.09991,30.50867
74,1525161246.0,104.07872,30.65796
75,1525143946.0,104.05508,30.49192
76,1525183155.0,104.03265,30.45915
77,1525136553.0,104.05328,30.50601
78,1525186913.0,104.070103,30.491694
79,1525167462.0,104.043844,30.50269
80,1525166890.0,104.0708,30.50389
81,1525163828.0,104.07995,30.38918
82,1525181520.0,104.04776,30.51188
83,1525138015.0,104.06616,30.52697
84,1525188613.0,104.070104,30.491693
85,1525160628.0,104.05233,30.49771
86,1525142155.0,104.068509,30.488569
87,1525179947.0,104.0604,30.51165
88,1525181135.0,104.06999,30.50449
89,1525160526.0,104.05328,30.50601
90,1525165159.0,104.07082,30.50274
91,1525163094.0,104.06917,30.48139
92,1525162186.0,104.05176,30.48644
93,1525150126.0,104.05085,30.50619
94,1525136342.0,103.97715,30.4758
95,1525143854.0,103.98928,30.54929
96,1525152324.0,104.08934,30.49051
97,1525162647.0,104.05682,30.50724
98,1525168031.0,103.97906,30.49838
99,1525167303.0,104.07972,30.52635
100,1525168910.0,104.05874,30.50972
101,1525150340.0,104.070152,30.501891
102,1525132046.0,104.114223,30.393427
103,1525146213.0,104.07185,30.51053
104,1525187361.0,104.052202,30.49265
105,1525159153.0,104.0697,30.51651
106,1525145320.0,103.97136,30.53449
107,1525146967.0,104.0375,30.48311
108,1525128916.0,104.048632,30.511942
109,1525151161.0,104.06277,30.47957
110,1525107144.0,104.0483,30.56019
111,1525177606.0,104.07118,30.4913
112,1525168100.0,104.01948,30.49059
113,1525165260.0,104.06626,30.50081
114,1525174898.0,104.072,30.61488
115,1525145745.0,104.077444,30.500898
116,1525166397.0,104.044961,30.578169
117,1525180663.0,103.99438,30.48215
118,1525169444.0,104.05624,30.52794
119,1525171364.0,103.92973,30.55921
120,1525184291.0,104.03481,30.48852
121,1525169815.0,104.06999,30.50449
122,1525171077.0,104.01622,30.51733
123,1525172412.0,104.06331,30.50581
124,1525158290.0,104.07626,30.49109
125,1525148300.0,104.03513,30.45398
126,1525167985.0,103.97715,30.4758
127,1525158399.0,104.00541,30.54886
128,1525170879.0,104.1136,30.55324
129,1525104444.0,104.058601,30.509853
130,1525150945.0,104.03545,30.45376
131,1525155752.0,104.03727,30.48229
132,1525141654.0,104.072055,30.547487
133,1525154038.0,104.08069,30.49093
134,1525124049.0,104.07341,30.53837
135,1525179745.0,104.058,30.50294
136,1525171668.0,104.071605,30.656183
137,1525169265.0,104.07676,30.61835
138,1525148037.0,104.049139,30.505924
139,1525156928.0,104.08858,30.39009
140,1525170660.0,104.04616,30.54181
141,1525172971.0,104.04335,30.54915
142,1525171645.0,104.03377,30.49373
143,1525165861.0,104.0375,30.48312
144,1525162419.0,103.9266,30.59776
145,1525185660.0,104.04792,30.54227
146,1525159710.0,104.06252,30.496393
147,1525141197.0,104.06298,30.51113
148,1525168668.0,104.06885,30.50475
149,1525167383.0,104.02049,30.49531
150,1525175175.0,104.0752,30.4998
151,1525167305.0,103.98837,30.48716
152,1525162029.0,103.89815,30.50765
153,1525180332.0,104.06535,30.50832
154,1525104620.0,104.066175,30.50767
155,1525104299.0,103.984683,30.662076
156,1525182828.0,104.03377,30.49373
157,1525171180.0,104.0523,30.49729
158,1525164068.0,104.03864,30.48837
159,1525180201.0,104.15148,30.62808
160,1525169344.0,104.07399,30.48738
161,1525167767.0,104.06179,30.52236
162,1525144641.0,104.11019,30.48913
163,1525181137.0,104.06999,30.50449
164,1525153280.0,104.067058,30.604889
165,1525177111.0,104.05656,30.53111
166,1525182729.0,104.05685,30.51776
167,1525157080.0,104.0675,30.48861
168,1525163209.0,104.05849,30.50956
169,1525169558.0,104.0586,30.50434
170,1525154649.0,104.05976,30.54019
171,1525190052.0,104.053598,30.505736
172,1525175987.0,104.05512,30.5055
173,1525169517.0,104.068872,30.478836
174,1525106307.0,104.13219,30.60679
175,1525171935.0,104.08119,30.50103
176,1525160412.0,104.11014,30.49198
177,1525167362.0,103.99845,30.48696
178,1525188676.0,104.10835,30.4881
179,1525164750.0,104.05247,30.497366
180,1525139108.0,104.07898,30.67268
181,1525182189.0,104.07195,30.46732
182,1525126772.0,104.05459,30.51059
183,1525159836.0,104.06587,30.5046
184,1525143888.0,104.09785,30.48203
185,1525154623.0,104.14505,30.62868
186,1525165618.0,104.06749,30.48877
187,1525182391.0,104.03159,30.63846
188,1525158752.0,104.05636,30.50664
189,1525163430.0,104.0287,30.52038
